EOB CODE,DESCRIPTION,Rejection Code,Group Code,Reason Code,Remark Code
026,This is an individual interim payment.,NULL,CO,NULL,NULL
027,Denied. Not authorized to provide work hardening services. Contact work hardening reviewer at (360)902-4480.,NULL,CO,"A1 M62,",N612
028,A maximum of 1 service unit is allowed.,NULL,CO,"P12, 45",NULL
029,"Denied. Home nursing travel, holidays, overtime & weekends are considered the providers overhead.",NULL,CO,A1,N643
030,A maximum of 300 miles is allowed.,NULL,CO,"P12, 45",NULL
031,"This was paid at the highest allowable fee for breakfast, lunch or dinner.",NULL,NULL,NULL,NULL
032,Denied. The tooth number billed has not been authorized.,NULL,CO,"A1, 197",N473
033,Lack of correct amount of units on bill can reduce or delay payment.,NULL,CO,226,M53
034,Number of hours paid per agreement with L&I Occupational Nurse Consultant.,NULL,CO,P12,N10
035,Paid professional component only. Technical component billed by and paid to another provider.,NULL,CO,NULL,NULL
036,Adjustment/deduction taken to credit base anesthesia units that were billed by you in error.,NULL,CR,P13,N692
037,L&I responsible for payment of this bill. Reimburse payments made by other sources.,NULL,CO,19,MA17
038,"Use modifier -7N with X-ray, lab services, and other allowed diagnostic services performed in conjunction with an IME.",NULL,CO,4,M78
039,Denied. The legal maximum of $4000 for retraining has been expended. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,NULL,NULL,NULL
040,Denied. Place of service is invalid/invalid for date of service. Resubmit with valid code.,NULL,CO,NULL,M77
041,Adjustment made to this bill per contractual agreement with utilitzation review (UR) vendor.,NULL,CR,NULL,N10
042,Payment of this service has been made per Board of Industrial Insurance Appeals (BIIA).,NULL,CO,NULL,N10
043,Denied. Procedure code missing from bill.,NULL,CO,"16, A1",MA66
044,Denied. Out of state travel expenses incurred prior to 7-1- 91 are not payable.,NULL,NULL,NULL,NULL
045,Denied. Type service/procedure code is invalid. Refer to current fee schedule for valid code.,NULL,CO,8,NULL
046,Payment made to correct your account for the refund which you made to L&I.,NULL,CR,P12,NULL
047,"Denied. Treatment is available within ten miles, one way. Travel expense is not payable.",NULL,NULL,NULL,NULL
048,Adjudicated per instructions from Claim Manager.,NULL,CO,P12,N10
049,Denied. No Report of Accident (ROA) has been received for this claim number by L&I.,NULL,CO,NULL,NULL
050,Only 1 new patient visit allowed within 3 years.,NULL,CO,B16,NULL
051,Payment made to EBP for review of service for which claim was not received/initiated by L&I.,NULL,NULL,NULL,NULL
052,Denied. The maximum allowable number of units was paid on another line or bill.,NULL,CO,45,N362
053,"Services 9/98 through 6/99, 40 maximum units allowed. Services 7/99 on, 32 maximum units allowed.",NULL,CO,P12,N362
054,"Denied. Clinic provider number may not be used in provider field, only payee field.",NULL,CO,NULL,N290
055,Payment adjusted or denied. Only one unit of service payable per claim.,NULL,CO,"A1, 45",N362
056,Denied. Chart notes are required for services billed. No additional amount is payable. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,"16, A1",N29
057,Submit charges for rehab DRG 462 under your facilities separate rehab unit provider number.,NULL,CO,8,NULL
058,Denied. E/M code not payable with MPE or impairment rating by same provider/claim/date of service.,NULL,CO,A1,M86
059,Payment adjusted to number of service units authorized by the Claim Manager.,NULL,CO,P12,N10
060,Denied. Please rebill using the correct provider number for these services.,NULL,CO,"8, A1",N77
061,Allowed at combined procedure code rate per L&I published fee schedule.,NULL,CO,"P12, 45",NULL
062,Fee for visit includes care of the day.,NULL,CO,NULL,M15
063,Denied. Reopening application is payable only on claims closed over 60 days.,NULL,CO,P13,NULL
064,Denied. Fee for service includes office call.,NULL,CO,P13,NULL
065,Only one adjustment form should be submitted listing all changes requested to an ICN bill.,NULL,CR,16,N232
066,Denied. The admit and discharge dates are the same. Rebill this service as outpatient service. MA31,NULL,CO,"A1 N64,","N173,"
067,"Adjusted.  Examination completed within 6 weeks of a ""no show"" exam billed to L&I.",NULL,CR,NULL,NULL
069,Denied. The provider is not an approved chiropractic consultant with L&I.,NULL,CO,B7,NULL
070,Allowable fee set by L&I Chiropractic Consultant based upon review of report.,NULL,CO,P12,N10
071,Denied. Injury occurred while in course of employment subject to Longshore & Harbor Workers Act,NULL,CO,"109, A1",N104
072,Denied. Rebill services under the performing provider's name and provider number and/or NPI.,NULL,CO,NULL,N290
073,Payment adjusted per review by Department Occupational Nurse Consultant. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,P12,N10
074,Denied. Replacement and repair of this item is not covered by L&I.,NULL,CO,"96, A1",N171
075,Denied. Requested records not rec'd by August(AHS). Injured worker is not to be billed.,NULL,CO,"226,  A1",N463
076,"Denied. Claim reopened for provisional time-loss only. If/when reopened for medical, rebill.",NULL,CO,"27, A1",N578
077,Procedure billed needs a referral ID on the bill. Contact the referring vocational provider for this number.,NULL,NULL,NULL,NULL
078,Services paid. Claim now closed and no additional benefits are payable.,NULL,CO,35,NULL
079,Denied. This is a rebill of an original that is currently under review by utilization review (UR) vendor.,NULL,CO,18,NULL
080,Anesthesia services reimbursed under RBRVS are not paid by base and time units.,NULL,CO,59,NULL
081,Units adjusted to 24. This procedure's unit value is calculated on a per hour basis.,NULL,CO,P12,NULL
082,The modifier used requires a report. No report has been received for these services.,NULL,CO,"16, A1",N29
083,When using a group number you must also indicate by provider number which doctor performed services.,NULL,CO,NULL,N290
084,Units or payment adjusted to pay maximum allowable amount per day.,NULL,CO,P12,N362
085,Units per injury per time period exceeded. Denied/Adjusted per current fee schedule maximum.,NULL,CO,P12,N362
086,Payment adjusted. Payment of guest convenience items are the injured worker's responsibility.,NULL,NULL,NULL,NULL
087,Units adjusted to correct amount. Only 2 additional visits allowed per day.,NULL,CO,"P12, 45",NULL
088,Referring provider number is missing/not valid for this claim. Contact referring vocational provider for this number. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,NULL,NULL,NULL
089,Denied. Service dates not within authorized dates for billed referral ID.,NULL,NULL,NULL,NULL
090,"Denied. Travel only reimbursed for scheduled treatment, exams and vocational services.",NULL,NULL,NULL,NULL
091,"Bill's referral ID does not match claim number on bill, is missing or invalid.  Correct and rebill.",NULL,NULL,NULL,NULL
092,Denied. Performing provider number not valid for this date of service.,NULL,CO,B7,NULL
093,This bill was adjusted in error in 12-90 when the Dept processed accommodation code adjustments.,NULL,NULL,NULL,NULL
094,Adjustment made to this bill per contractual agreement with utilization review (UR) vendor.,NULL,CR,NULL,N10
095,Payment made to utilization review (UR) vendor for review of service for which claim was not received/initiated by L&I.,NULL,CO,100,NULL
096,Denied. Requested records not received by utilization review (UR) vendor. Injured worker is not to be billed.,NULL,CO,"226,  A1",N463
097,Denied. This is a rebill of an original that is currently under review by utilization review (UR) vendor.,NULL,CO,18,NULL
098,Denied. Incorrect procedure code for referral ID/type billed.,NULL,NULL,NULL,NULL
099,Charge/fee converted to rate of exchange in effect for date of service.,NULL,CO,P12,NULL
100,Effective 9/1/93 L&I will not pay for Stadol Nasal Solution.,NULL,CO,NULL,NULL
101,"Denied as duplicate. If not a duplicate, submit an adjustment request with documentation.",NULL,CO,"18, B13",NULL
102,Deny. No vocational rehabilitation counselor (VRC) is assigned to this referral.,NULL,NULL,NULL,NULL
103,Deny. Payee provider is not assigned to this referral ID.,NULL,NULL,NULL,NULL
104,Denied. Service is included in flat fee or follow up care period for major surgery performed.,NULL,CO,B1,M144
105,Denied. Procedure code is incompatible with diagnosis code on the bill. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,11,NULL
106,Denied. The therapeutic class and the diagnosis on the bill are incompatible.,80,NULL,NULL,NULL
107,Board charges are allowed for payment of food items only. Other items are not authorized.,NULL,NULL,NULL,NULL
108,Payment of this service has been authorized as a retraining expense.,NULL,NULL,NULL,NULL
109,Deduction taken to reimburse L&I for unauthorized or excess payment of this service.,NULL,CR,"P12, 197",NULL
110,Paid technical component only. Professional component billed by and paid to another provider.,NULL,CO,"P12, 89",NULL
111,The procedure modifier(s) required for the surgery(s) on this bill is either invalid or missing,NULL,CO,4,NULL
112,Units of service adjusted to comply with the maximum 40 hours payable for this service.,NULL,CO,P12,NULL
113,When billing an unlisted procedure code a specific description of service must be on the bill.,NULL,CO,"16 M51,",MA69
114,Paid. Condition not accepted but retarding recovery from accepted condition.,NULL,CO,20,NULL
115,Units of service for accommodations conflict with the covered dates listed on your bill.,NULL,CO,16,N345
116,No payment made for this surgical service. It is included in flat fee for major surgery billed.,NULL,CO,97,M144
117,The 1st procedure code modifier is either completely invalid or invalid for the service dates billed.,NULL,CO,4,NULL
118,This service has already been billed by and paid to another provider.,NULL,CO,B20,NULL
119,Paid on adjunctive treatment basis only. Condition not accepted.,NULL,CO,20,NULL
120,Denied. The date of service is required. Submit bill only when service has been completed.,NULL,CO,16,MA31
121,Not paid. Provider name and/or number is missing or invalid. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,16,N290
122,History adjustment due to consolidation of claim numbers.,NULL,OA,P12,NULL
123,Denied. This service is not payable in advance.,15,CO,110,NULL
124,Denied. The beginning/ending service date is missing or invalid.,15,CO,16,MA31
125,Denied. Bill was received in L&I after 90 days from date of service.,NULL,CO,29,NULL
126,Payment processed. Future vouchers for travel over 90 days old will be denied.,NULL,NULL,NULL,NULL
127,Denied. The prescription was not written by the recognized attending physician of record.,NULL,CO,"A1,184",N31
128,Denied. The prescription was written for a condition unrelated to the industrial injury.,NULL,CO,"96, A1",N576
129,Missing or invalid modifier code was billed. Please note corrected code used in this instance.,NULL,CO,4,M78
130,Injured worker name was missing from the billing received by L&I.,CD,CO,16,MA36
131,Denied. The prescribing provider number is missing or invalid.,25,CO,16,N31
132,Please list all applicable modifiers in the description field when billing modifier 99.,NULL,CO,4,M78
133,Denied. Gasoline and/or automotive costs are included in the mileage reimbursement rate.,NULL,NULL,NULL,NULL
134,Allowed at rate established by Washington Administrative Code effective this service date.,NULL,CO,P12,NULL
135,Denied.  Parking receipts were not attached to your billing. Attach receipts to bill and resubmit for further consideration.,NULL,NULL,NULL,NULL
136,Extra views must be billed under -22 modifier per Fee Schedule/WAC 296-23-01005.,NULL,CO,4,NULL
137,"Procedure code states ""minimum of __ views."" Additional amount not payable for extra views. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code",NULL,CO,"P12, 45",NULL
138,Payment for report not allowed when procedure code billed requires submission of report.,NULL,CO,97,NULL
139,Adjustment processed as result of provider audit.,NULL,CR,P12,N10
140,Refund made as result of provider audit.,NULL,CR,P12,N10
141,Base units paid only. Actual anesthesia time must be on bill. Submit adjustment to this bill.,NULL,CO,"16 M49,",N203
142,Allowable fee set by L&I Medical Consultant based upon review of report.,NULL,CO,P12,N10
143,Provider number or NPI corrected to match name. Bill with correct number for provider name in future.,NULL,CO,226,N290
144,The prescription written date is missing or is invalid.,NULL,NULL,NULL,NULL
145,Type of service code is missing or is invalid.,NULL,CO,226,N34
146,Denied. The injured worker's sex code on this bill is missing or invalid.,NULL,CO,"16, A1",MA39
147,The daily room rate was missing from the billing you submitted to L&I.,NULL,CO,16,M51
148,The revenue code for this service was missing from the billing you submitted to L&I.,NULL,CO,16,M50
149,Use of this procedure code for this date of service is invalid.,NULL,CO,A1,M67
150,Denied. Injured worker date of birth is missing or invalid.,NULL,CO,16,N329
151,"The side of body code is invalid. It must be L (left), R (right) B (both) or remain blank.",NULL,CO,4,NULL
152,NDC code and/or the prescription number is missing or invalid.,NULL,CO,"16, A1",M119
153,Denied. Principal diagnosis code is invalid for the first date of service.,NULL,CO,A1,MA63
154,Denied. Second ICD diagnosis code is invalid for the first date of service.,NULL,CO,A1,M64
155,Drug quantity missing/invalid. If equipment rebill on Statement for Miscellaneous Services. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,E7,CO,16,NULL
156,Days supply missing/invalid. If equipment send bill on Statement for Miscellaneous Services.,19,CO,16,NULL
157,Not responsible for repair or replacement of contacts or glasses not worn at time of injury.,NULL,PR,96,NULL
158,Bill paid. You must reimburse the employer the total amount he/she paid for this service.,NULL,OA,P12,NULL
159,Prescribing provider number on your bill was terminated or associated to a terminated number when the prescription was written.,71,CO,184,NULL
160,Reduced to office call fee for 90030 or ER visit 90350 per our Medical Aid Rules.,NULL,CO,"P12, 45",NULL
161,Denied. Third ICD diagnosis code is invalid for first date of service.,NULL,CO,16,M64
162,Denied. Fourth ICD diagnosis code is invalid for first date of service.,NULL,CO,16,M64
163,Not paid. Diagnosis code missing.,NULL,CO,16,M64
164,Denied. Fifth ICD diagnosis code is invalid for first date of service.,NULL,CO,16,M64
165,Unable to determine referring physician's name and/or provider number.,NULL,CO,"16 N285,",N286
166,Section of the bill indicating if the old glasses prescription was available was not completed.,NULL,CO,16,NULL
167,Denied. Patient status code is missing or invalid for state fund injured workers.,NULL,CO,16,MA43
168,Denied. Refraction is not paid when the old prescription is available.,NULL,CO,96,NULL
169,Denied. Admitting/Principal ICD diagnosis code is not sufficiently specific.,NULL,CO,"16, A1",M81
170,Denied. Second ICD diagnosis code is not sufficiently specific.,NULL,CO,"16, A1",M81
171,Denied. Third ICD diagnosis code is not sufficiently specific. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,"16, A1",M81
172,Type service/procedure code is missing or is an invalid L& procedure code.,I,NULL,CO 16,MA66
173,Denied. The admission date and the service dates are incompatible. MA31,NULL,OA,"16, A1","MA40,"
174,Denied. L&I did not authorize these services by this provider for this claim.,NULL,CO,"A1, 197",N473
175,"Service prior to April 1, 1986 must be billed as a separate line item.",NULL,NULL,NULL,NULL
176,Denied. Fourth ICD diagnosis code is not sufficiently specific.,NULL,CO,"16, A1",M81
177,Denied. Fifth ICD diagnosis code is not sufficiently specific.,NULL,CO,"16, A1",M81
178,Denied. First diagnosis code denotes a non-industrial condition or is not sufficiently specific,NULL,CO,"16, A1",M81
179,"Admit type is invalid. Valid admit types are 1,2,3, and 4.",NULL,CO,16,MA41
180,Denied. Principal procedure date is more than 2 days prior to the bill's first covered date.,NULL,CO,"26, A1",MA66
181,Denied. Principal diagnosis denotes a non-industrial condition or is not sufficiently specific.,NULL,CO,"16, A1",MA63
182,Incorrect revenue code billed for this service.,NULL,CO,"16, A1",M50
183,The units of service are missing or invalid.,NULL,CO,"16, A1",M53
184,Charge is missing or $0.00; invalid (rate X days not equal to charge); or CPT category 2 code.,DU,CO,"16, A1",M79
185,The admission date is missing.,NULL,CO,"16, A1",MA40
186,Denied. The provider has already been paid for this service under his individual L&I provider number.,NULL,CO,18,M86
187,Denied. The clinic has already been paid for this service under the clinic's L&I provider number.,NULL,CO,18,M86
188,Denied. Second diagnosis denotes a non-industrial condition or is not sufficiently specific.,NULL,CO,"16, A1",M81
189,Denied. Third diagnosis denotes a non-industrial condition or is not sufficiently specific. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,"16, A1",M81
190,Denied. fourth diagnosis denotes a non-industrial condition or is not sufficiently specific.,NULL,CO,"16, A1",M81
191,Denied. Fifth diagnosis denotes a non-industrial condition or is not sufficiently specific.,NULL,CO,"16, A1",M81
192,"Denied. Resubmit with list of ingredients, their cost and compounding time on Statement for Compound Prescription form 245-010-000.",NULL,CO,"16, A1",N668
193,Denied. The principal ICD diagnosis code is missing.,NULL,CO,"16, A1",MA63
194,Denied. Authorization of this service has been denied in this claim.,NULL,CO,A1,N216
195,Denied. Principal diagnosis has not been accepted as related to this injury. 167,NULL,CO,"A1, P12,",MA63
196,Denied. Second diagnosis has not been accepted as related to this injury. 167,NULL,CO,"A1, P12,  M76,",M64
197,More specific revenue code needed. Use revenue code 291 for purchase or 292 for rental.,NULL,CO,16,M50
198,Denied. The date of surgery and/or surgical procedure code is missing. Send adjustment request. MA66,NULL,CO,16,"N341,"
199,Denied. One or more diagnosis codes in the 2nd through 9th fields are invalid.,NULL,CO,16,M64
200,Denied. Principal and 2nd diagnosis codes not accepted as related to this injury. 167,NULL,CO,"A1, P12,  M64,",MA63
201,L&I is processing these services under a new ICN.,NULL,CO,16,M47
202,Charges must be submitted on a CMS-1500 for processing.,NULL,CO,"16 MA30,",N34
203,Charges adjusted according to your state's fee schedule.,NULL,CO,P12,NULL
204,Denied. Primary and/or secondary diagnoses not accepted as related to this injury. 167,NULL,CO,"A1, P12,  M64,",MA63
205,Denied. Bills for crime victim claims must be submitted to the Crime Victim Compensation Program.,NULL,CO,"109, A1 N648,",N578
206,Denied. We have no record of a claim having been filed with L&I with this claim number. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,31,NULL
207,Denied. Each provider must bill charges separately.,NULL,CO,16,N232
208,Please note the prescribing physician's new provider number and use it on future bills.,NULL,CO,16,NULL
209,This provider is not authorized to provide this service.,M5,CO,A1,N612
210,This transaction is a transfer of the credit portion of the interim payment.,NULL,CR,P12,NULL
211,Injured worker paid at L&I rate. Please reimburse the provider for this service.,NULL,NULL,NULL,NULL
212,Denied. This is a self-insured claim number.,NULL,CO,"109, A1 N625,",N578
213,Inpatient bill adjusted to augment DRG database.,NULL,CO,P12,NULL
214,Denied. The CPT procedure code submitted is not a valid code from the outpatient fee schedule.,NULL,CO,"16, A1",M67
215,"Submit w/valid revenue code or if service is for lab, radiology, or PT use CPT procedure code.",NULL,CO,"16, A1 M50,",M20
216,NDC invalid for service date billed.,NULL,CO,"16, A1",M119
217,The revenue code was missing from the bill.,NULL,CO,"16, A1 M50,",M20
218,Interest penalty as a result of overpayment.,NULL,CO,85,NULL
219,Denied. This procedure is considered nonstandard and is not payable by L&I.,NULL,CO,56,N35
220,Denied. Bill not submitted in a timely manner patient is not responsible for this charge.,NULL,CO,29,NULL
221,Denied. Only 1office call per day is permitted after the first 3 days of treatment.,NULL,CO,"96, B1",M86
222,"Denied. Effective January 1, 1987, $.36 tape billing fee is no longer payable by L&I.",NULL,NULL,NULL,NULL
223,This credit is taken due to a warrant cancellation.,NULL,CR,P12,NULL
224,The 1st procedure code modifier is not a valid payment modifier in conjunction with the procedure billed.,NULL,CO,4,M78
225,Denied. The noncovered line item charge exceeds the line item billed charge. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,"96, A1",M79
226,Denied. Bill type invalid for this provider type. Correct bill type/provider number & resubmit.,NULL,CO,"16 N34,",MA30
227,Paid as one hour. Supply time span for psychiatric exam in remarks on future bills.,NULL,CO,"P12, 122",N443
228,Adjusted. On future bills indicate in remarks if psychiatrist was panel member and number of hours.,NULL,CR,"P12, 122",N443
229,"When billing unlisted procedure code, specific description of service must be in remarks.",NULL,CO,16,MA69
230,This item must be billed by NDC on the Statement for Pharmacy Services bill form.,NULL,CO,"16 M119,",N34
231,"When billing -22 modifier, you must explain the nature of the additional services in remarks.",NULL,CO,"16 MA69,",M69
232,You must list all applicable modifiers in remarks when billing modifier -99.,NULL,CO,16,MA69
233,The diagnosis supplied on your bill has been denied under this claim number.,NULL,CO,"A1, 167 N569,",M76
234,Paid at non-Washington percent of allowed charge (POAC) per WAC 296-23A-0230.,NULL,CO,P12,NULL
235,Denied. Primary and/or secondary diagnosis has been denied under this claim number.,NULL,CO,"A1, 167 MA63,",M64
236,Bill remarks do not pertain to bill payment and have delayed processing.,NULL,CO,133,MA69
237,Remarks do not justify -22 modifier. Submit paper adjustment with justification.,NULL,CO,A1,N380
238,Inpatient admission not medically necessary per L&I Medical Consultant. Paid at 50%.,NULL,CO,"P12, 197",N10
239,Prior authorization not obtained for inpatient admission. Paid at half of allowable fee.,NULL,CO,197,NULL
240,Time lost from work is payable only when an examination is requested by L&I. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,NULL,NULL,NULL
241,Not payable when injured worker is receiving time-loss compensation or has been kept on salary.,NULL,CO,"A1, P12",N734
242,Bill contains multiple charges for dates when claim was not open. Delete services and rebill.,NULL,CO,"A1, 27",MA33
243,"Denied. Please submit a paper bill to James L. Groves Company, Seattle.",NULL,NULL,NULL,NULL
244,Denied. injured worker is not eligible under this claim for this date(s) of service.,M5,CO,"26, 27, A1",N30
245,Denied. Please rebill these services on an outpatient bill.,NULL,CO,5,N34
246,Denied. Procedure and/or modifier code is incorrect for service described on bill.,NULL,CO,4,N56
247,"When multiple modifiers apply, use 99 & list all applicable modifiers in the description field.",NULL,CO,4,M78
248,Allowed charges reduced to office call. Report billed and paid under 99080.,NULL,CO,"P12, 45",NULL
249,Reimbursed at rate of exchange in effect at the time of service.,NULL,CO,P12,NULL
250,Denied by L&I due to lack of identifying information as to provider of services.,5,CO,A1,N920
251,"Procedure code 72140 is invalid, use codes 72141 through 72144 to bill for spinal MRI's.",NULL,CO,"96, A1",N56
252,Claim closed. Only services requested by L&I are payable.,69,CO,27,NULL
253,Use revenue codes 430 through 439 to bill occupational therapy. Do not bill with CPT codes.,NULL,CO,16,M50
254,Patient status code 30 invalid for DRG bill; correct and resubmit or submit final bill only.,NULL,CO,A8,MA43
255,"Denied, condition code invalid. L&I accepts 00 or 61 for inpatient, all national-valid outpatient.",NULL,CO,A1,M44
256,Claim now closed.,NULL,CO,27,NULL
257,Principal diagnosis code unacceptable according to Medicare Code Editor. Correct and resubmit. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,A1,MA63
258,Credit taken to offset previous payment made by gross adjustment.,NULL,CR,P12,NULL
259,Denied. Claim number/injured worker name mismatch. Call 1-,62,CO,31,"MA61,"
800,-831-5227 to confirm claim number before rebilling. MA36,NULL,NULL,NULL,NULL
260,Service was for concurrent treatment which has not been authorized for this injury.,NULL,CO,"197 M80,",N20
261,Generically priced. Prescribing doctor hasn't submitted justification to issue brand name drug.,NULL,CO,P12,N447
262,ICD procedure code(s) invalid for first date of service. Correct and resubmit.,NULL,CO,16,MA66
263,Denied. Duplicate claim number. Contact L&I local office for the correct number.,7,CO,18,NULL
264,"Claim not yet allowed.  Bill on hold for claim decision.  Do not send rebill, adjustment or appeal until you receive notice of payment decision.",67,CO,133,NULL
265,Denied. Service rendered after date of pension and no treatment order has been authorized.,NULL,CO,"27, A1 N578,",N650
266,"Per contract- ""Free"" trial of transcutaenous nerve stimulator.",NULL,CO,108,NULL
267,Denied. This is a medical contract claim. Submit your bill to the employer contract carrier.,NULL,PI,109,NULL
268,Denied. Travel expense must be billed to L&I within 12 months of the date of travel.,NULL,NULL,NULL,NULL
269,All ICD operating room procedure codes are non-specific. Correct and resubmit.,NULL,CO,"16, A1",M51
270,Injured worker's age invalid for diagnosis. Correct and resubmit.,NULL,CO,9,NULL
271,Denied. Sum of line item charges does not equal total billed charge. Correct and resubmit.,NULL,CO,16,M54
272,Please note when billing this procedure code enter 001 in bill's units of service field. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,P12,M53
273,Please note the provider number. Use this number to bill for psychiatric unit services.,NULL,CO,16,N290
274,Please note the provider number. Use this number to bill for alcohol unit service.,NULL,CO,16,N290
275,Denied as duplicate. The service(s) where paid under your previous provider number.,NULL,CO,"18, A1",N111
276,Denied. The diagnosis listed on your billing has not been accepted as related to this injury.,M1,CO,"96, A1 M76,",M64
277,"Denied. Authorization of this procedure, drug or service has been denied under this claim number",70,CO,39,NULL
278,Denied. L&I notification of cancellation was provided within 3 days of examination.,NULL,CO,"96, B1",NULL
279,Deduction taken for bills previously paid on a claim which has subsequently been rejected.,NULL,CR,P12,NULL
280,Denied. Claim number billed is not active. Call 1-800-831- 5227 to confirm the claim number before rebilling.,52,CO,31,NULL
281,Denied. The date of service is prior to the date of injury.,65,CO,26,NULL
282,Your bill must be held pending adjudication of this claim.,NULL,CO,133,NULL
283,Bill did not exceed L&I high cost outlier thresholds.,NULL,CO,"P12, 45",NULL
284,"DRG cannot be assigned. Check age, sex, patient status, procedure & diagnosis codes & resubmit.",NULL,CO,A8,NULL
285,Not referred by the attending physician of record and L& authorization not obtained.,I,NULL,"CO A1, 197",N253
286,Denied. The CPT code for the surgical procedure performed must be listed on the billing.,NULL,CO,"16, A1",M20
287,Denied.  This is an electronic bill.  The clearinghouse is not authorized to submit bills for this provider.  Call 360-902- 6511.,NULL,CO,A1,N51
288,Bill returned to provider with new provider application form. Previous application was not returned. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,16,N202
289,Please note the provider number. Use this number to bill for rehabilitation unit services.,NULL,CO,16,N77
290,Denied. Include outpatient charges on the inpatient bill to be resubmitted to L&I.,NULL,CO,A1,M2
291,Denied. Explanation of -52 modifier not supplied as per contract requirements. Rebill.,NULL,CO,"16, A1",N29
292,Denied. Our records do not show the provider and group number on bill as related. Call360-902-5140,NULL,CO,"16 N290,",N280
293,Denied. These services were not billed in accordance with contract. Rebill per contract terms.,NULL,CO,A1,N381
294,Denied. Dates of service must be itemized. Correct and resubmit.,NULL,CO,"16, A1",N63
295,Injured worker reimbursement bill returned to injured worker due to invalid claim number.,NULL,NULL,NULL,NULL
296,Injured worker reimbursement denied by L&I due to invalid claim number and no injured worker address on bill.,NULL,NULL,NULL,NULL
297,Denied. Dental procedure code is missing or is not a valid 1987 American Dental Assoc code.,NULL,CO,A1,M67
298,This payment is due to the hospital discount applied to your audit refund.,NULL,CR,P12,N10
299,"Denied. As of July 1990, this revenue code is not a valid Washington State code.",NULL,CO,"16, A1",M50
300,Services deleted were rendered after or during period of claim closure.,M5,CO,239,NULL
301,Denied. The bill/report submitted was illegible. Information must be clearly printed and accurate.,NULL,CO,16,N232
302,Unable to process. Submit bill directly to L&I on the appropriate bill form.,NULL,CO,16,N34
303,Denied. This claim has been suspended and no benefits are payable during suspended time period.,NULL,CO,133,NULL
